"","occupation","major_category","minor_category","total_workers","workers_male","workers_female","percent_female","total_earnings","total_earnings_male","total_earnings_female","wage_percent_of_male","date_collected"
"1215","Radiation therapists","Healthcare Practitioners and Technical","Healthcare Practitioners and Technical",12812,4172,8640,67.4,80607,81022,80320,NA,2022-01-01
"1216","Recreational therapists","Healthcare Practitioners and Technical","Healthcare Practitioners and Technical",7445,1668,5777,77.6,41480,44892,40508,NA,2022-01-01
"1217","Respiratory therapists","Healthcare Practitioners and Technical","Healthcare Practitioners and Technical",83930,32558,51372,61.2,55793,61589,51928,84.3,2022-01-01
"1218","Speech-language pathologists","Healthcare Practitioners and Technical","Healthcare Practitioners and Technical",88903,5343,83560,94,61989,73661,61669,NA,2022-01-01
"1219","Miscellaneous therapists, including exercise physiologists","Healthcare Practitioners and Technical","Healthcare Practitioners and Technical",99352,21447,77905,78.4,46386,46534,46364,99.6,2022-01-01
"1220","Veterinarians","Healthcare Practitioners and Technical","Healthcare Practitioners and Technical",56815,25816,30999,54.6,90378,101745,81649,80.2,2022-01-01
"1221","Registered nurses","Healthcare Practitioners and Technical","Healthcare Practitioners and Technical",2227835,267866,1959969,88,62636,68759,62268,90.6,2022-01-01
"1222","Nurse anesthetists","Healthcare Practitioners and Technical","Healthcare Practitioners and Technical",22833,10381,12452,54.5,152610,170331,148873,87.4,2022-01-01
"1223","Nurse midwives","Healthcare Practitioners and Technical","Healthcare Practitioners and Technical",4171,53,4118,98.7,91189,NA,91019,NA,2022-01-01
"1224","Nurse practitioners","Healthcare Practitioners and Technical","Healthcare Practitioners and Technical",97121,10196,86925,89.5,96461,100847,96174,95.4,2022-01-01
"1225","Health diagnosing and treating practitioners, all other","Healthcare Practitioners and Technical","Healthcare Practitioners and Technical",13144,4512,8632,65.7,53226,72059,52231,NA,2022-01-01
"1226","Clinical laboratory technologists and technicians","Healthcare Practitioners and Technical","Healthcare Practitioners and Technical",246437,69100,177337,72,47531,51066,46582,91.2,2022-01-01
"1227","Dental hygienists","Healthcare Practitioners and Technical","Healthcare Practitioners and Technical",68943,5525,63418,92,59700,80648,56796,NA,2022-01-01
"1228","Diagnostic related technologists and technicians","Healthcare Practitioners and Technical","Healthcare Practitioners and Technical",259914,89534,170380,65.6,56328,61703,53309,86.4,2022-01-01
"1229","Emergency medical technicians and paramedics","Healthcare Practitioners and Technical","Healthcare Practitioners and Technical",157142,108751,48391,30.8,40915,42618,35720,83.8,2022-01-01
"1230","Health practitioner support technologists and technicians","Healthcare Practitioners and Technical","Healthcare Practitioners and Technical",429026,92445,336581,78.5,31830,35843,31348,87.5,2022-01-01
"1231","Licensed practical and licensed vocational nurses","Healthcare Practitioners and Technical","Healthcare Practitioners and Technical",572705,69904,502801,87.8,38441,41171,37816,91.9,2022-01-01
"1232","Medical records and health information technicians","Healthcare Practitioners and Technical","Healthcare Practitioners and Technical",143058,13585,129473,90.5,37102,41133,36939,89.8,2022-01-01
"1233","Opticians, dispensing","Healthcare Practitioners and Technical","Healthcare Practitioners and Technical",37530,11702,25828,68.8,38961,46848,34335,73.3,2022-01-01
"1234","Miscellaneous health technologists and technicians","Healthcare Practitioners and Technical","Healthcare Practitioners and Technical",96956,33669,63287,65.3,40495,46975,37077,78.9,2022-01-01
"1235","Other healthcare practitioners and technical","Healthcare Practitioners and Technical","Healthcare Practitioners and Technical",101327,57917,43410,42.8,57131,61243,52188,85.2,2022-01-01
"1236","Nursing, psychiatric, and home health aides","Service","Healthcare Support",1214020,172611,1041409,85.8,25743,28461,25390,89.2,2022-01-01
"1237","Occupational therapy assistants and aides","Service","Healthcare Support",12756,1574,11182,87.7,47302,45980,48391,NA,2022-01-01
"1238","Physical therapist assistants and aides","Service","Healthcare Support",53025,16778,36247,68.4,45648,47197,44485,94.3,2022-01-01
"1239","Massage therapists","Service","Healthcare Support",60133,15529,44604,74.2,30667,31658,30422,96.1,2022-01-01
"1240","Dental assistants","Service","Healthcare Support",165817,10936,154881,93.4,31502,37076,31398,84.7,2022-01-01
"1241","Medical assistants","Service","Healthcare Support",376800,30913,345887,91.8,30085,32623,29872,91.6,2022-01-01
"1242","Medical transcriptionists","Service","Healthcare Support",29196,1532,27664,94.8,32279,45282,32182,NA,2022-01-01
"1243","Pharmacy aides","Service","Healthcare Support",28588,6246,22342,78.2,31500,36714,30968,NA,2022-01-01
"1244","Veterinary assistants and laboratory animal caretakers","Service","Healthcare Support",29360,4998,24362,83,25504,38167,24205,NA,2022-01-01
"1245","Phlebotomists","Service","Healthcare Support",85128,10946,74182,87.1,30497,32277,30295,93.9,2022-01-01
"1246","Healthcare support workers, all other, including medical equipment preparers","Service","Healthcare Support",98693,33481,65212,66.1,30366,31975,28420,88.9,2022-01-01
"1247","First-line supervisors of correctional officers","Service","Protective Service",55327,39436,15891,28.7,53522,57390,46185,80.5,2022-01-01
"1248","First-line supervisors of police and detectives","Service","Protective Service",94175,79588,14587,15.5,80336,81985,63504,77.5,2022-01-01
"1249","First-line supervisors of fire fighting and prevention workers","Service","Protective Service",44798,42954,1844,4.1,86453,86611,70567,NA,2022-01-01
"1250","First-line supervisors of protective service workers, all other","Service","Protective Service",64548,50047,14501,22.5,49384,50301,46813,93.1,2022-01-01
"1251","Firefighters","Service","Protective Service",254678,242900,11778,4.6,65336,65586,56817,86.6,2022-01-01
"1252","Fire inspectors","Service","Protective Service",17545,15551,1994,11.4,55762,57478,42298,NA,2022-01-01
"1253","Bailiffs, correctional officers, and jailers","Service","Protective Service",376460,275225,101235,26.9,43558,46825,38088,81.3,2022-01-01
"1254","Detectives and criminal investigators","Service","Protective Service",118191,88512,29679,25.1,76843,80877,65511,81,2022-01-01
"1255","Fish and game wardens","Service","Protective Service",4175,3855,320,7.7,50041,48576,60694,NA,2022-01-01
"1256","Parking enforcement workers","Service","Protective Service",6393,3673,2720,42.5,41431,37006,42985,NA,2022-01-01
"1257","Police and sheriff's patrol officers","Service","Protective Service",662619,572681,89938,13.6,62358,64391,55331,85.9,2022-01-01
"1258","Transit and railroad police","Service","Protective Service",2915,2426,489,16.8,44818,55634,43541,NA,2022-01-01
"1259","Animal control workers","Service","Protective Service",8176,5357,2819,34.5,35318,32452,40154,NA,2022-01-01
"1260","Private detectives and investigators","Service","Protective Service",67589,38415,29174,43.2,51899,57277,46210,80.7,2022-01-01
"1261","Security guards and gaming surveillance officers","Service","Protective Service",675504,529889,145615,21.6,30369,30738,28384,92.3,2022-01-01
"1262","Crossing guards","Service","Protective Service",11204,6289,4915,43.9,32430,32407,32494,NA,2022-01-01
"1263","Transportation security screeners","Service","Protective Service",23262,14043,9219,39.6,41487,41893,39937,95.3,2022-01-01
"1264","Lifeguards and other recreational, and all other protective service workers","Service","Protective Service",22488,15424,7064,31.4,31749,34300,27391,79.9,2022-01-01
"1265","Chefs and head cooks","Service","Food Preparation and Serving Related",328344,264659,63685,19.4,30443,31069,26279,84.6,2022-01-01
"1266","First-line supervisors of food preparation and serving workers","Service","Food Preparation and Serving Related",375654,175801,199853,53.2,25510,29352,22498,76.6,2022-01-01
